小韻號	韻部	八思巴字	聲調	字頭	備選異體	釋義	需作調整	注釋	unt擬音	unt轉寫	對應切韻音系音韻地位
1	一東	ꡂꡟꡃ	平	公					kuŋ	kuŋ	見一東平
1	一東	ꡂꡟꡃ	平	功					kuŋ	kuŋ	見一東平
1	一東	ꡂꡟꡃ	平	工					kuŋ	kuŋ	見一東平
1	一東	ꡂꡟꡃ	平	攻					kuŋ	kuŋ	見一冬平
1	一東	ꡂꡟꡃ	平	觥					kuŋ	kuŋ	見合二庚平
1	一東	ꡂꡟꡃ	平	觵					kuŋ	kuŋ	見合二庚平
1	一東	ꡂꡟꡃ	平	肱					kuŋ	kuŋ	見合一登平
1	一東	ꡂꡟꡃ	平	㓚		刈也			kuŋ	kuŋ	見一東平
1	一東	ꡂꡟꡃ	平	玒		美玉			kuŋ	kuŋ	見一東平
1	一東	ꡂꡟꡃ	上	礦					kuŋ	kuŋ	見合二庚上
1	一東	ꡂꡟꡃ	上	鑛					kuŋ	kuŋ	見合二庚上
1	一東	ꡂꡟꡃ	去	貢					kuŋ	kuŋ	見一東去
1	一東	ꡂꡟꡃ	去	贛					kuŋ	kuŋ	見一東去
1	一東	ꡂꡟꡃ	去	羾		至也			kuŋ	kuŋ	見一東去
1	一東	ꡂꡟꡃ	去	灨					kuŋ	kuŋ	見一東去
1	一東	ꡂꡟꡃ	去	虹					kuŋ	kuŋ	見一東去
1	一東	ꡂꡟꡃ	去	𡎴					kuŋ	kuŋ	見一東去
1	一東	ꡂꡟꡃ	去	𪅷					kuŋ	kuŋ	見一東去
2	一東	ꡁꡟꡃ	平	空					kʰuŋ	kʰuŋ	溪一東平
2	一東	ꡁꡟꡃ	平	箜					kʰuŋ	kʰuŋ	溪一東平
2	一東	ꡁꡟꡃ	平	崆					kʰuŋ	kʰuŋ	溪一東平
2	一東	ꡁꡟꡃ	平	悾					kʰuŋ	kʰuŋ	溪一東平
2	一東	ꡁꡟꡃ	平	倥		倥侗顓蒙			kʰuŋ	kʰuŋ	溪一東平
2	一東	ꡁꡟꡃ	上	孔					kʰuŋ	kʰuŋ	溪一東上
2	一東	ꡁꡟꡃ	上	倥					kʰuŋ	kʰuŋ	溪一東上
2	一東	ꡁꡟꡃ	上	悾					kʰuŋ	kʰuŋ	溪一東上
2	一東	ꡁꡟꡃ	去	控					kʰuŋ	kʰuŋ	溪一東去
2	一東	ꡁꡟꡃ	去	倥					kʰuŋ	kʰuŋ	溪一東去
2	一東	ꡁꡟꡃ	去	空					kʰuŋ	kʰuŋ	溪一東去
2	一東	ꡁꡟꡃ	去	鞚					kʰuŋ	kʰuŋ	溪一東去
3	一東	ꡊꡟꡃ	平	東					tuŋ	tuŋ	端一東平
3	一東	ꡊꡟꡃ	平	凍					tuŋ	tuŋ	端一東平
3	一東	ꡊꡟꡃ	平	冬					tuŋ	tuŋ	端一冬平
3	一東	ꡊꡟꡃ	平	蝀					tuŋ	tuŋ	端一東平
3	一東	ꡊꡟꡃ	平	𩂓		雨兒			tuŋ	tuŋ	端一冬平
3	一東	ꡊꡟꡃ	上	董					tuŋ	tuŋ	端一東上
3	一東	ꡊꡟꡃ	上	蝀					tuŋ	tuŋ	端一東上
3	一東	ꡊꡟꡃ	上	懂					tuŋ	tuŋ	端一東上
3	一東	ꡊꡟꡃ	上	𧄓				原卷作「⿰壴𰩨」，校正爲「𧄓」，沈書字表一節和勘誤一節均誤作「⿰壴堇」	tuŋ	tuŋ	端一東上
3	一東	ꡊꡟꡃ	去	凍					tuŋ	tuŋ	端一東去
3	一東	ꡊꡟꡃ	去	棟					tuŋ	tuŋ	端一東去
4	一東	ꡉꡟꡃ	平	通					tʰuŋ	tʰuŋ	透一東平
4	一東	ꡉꡟꡃ	平	恫					tʰuŋ	tʰuŋ	透一東平
4	一東	ꡉꡟꡃ	平	侗		大兒			tʰuŋ	tʰuŋ	透一東平
4	一東	ꡉꡟꡃ	上	捅					tʰuŋ	tʰuŋ	透一東上
4	一東	ꡉꡟꡃ	上	桶					tʰuŋ	tʰuŋ	透一東上
4	一東	ꡉꡟꡃ	去	痛					tʰuŋ	tʰuŋ	透一東去
4	一東	ꡉꡟꡃ	去	統					tʰuŋ	tʰuŋ	透一冬去
5	一東	ꡈꡟꡃ	平	同					duŋ	duŋ	定一東平
5	一東	ꡈꡟꡃ	平	仝					duŋ	duŋ	定一東平
5	一東	ꡈꡟꡃ	平	童					duŋ	duŋ	定一東平
5	一東	ꡈꡟꡃ	平	僮					duŋ	duŋ	定一東平
5	一東	ꡈꡟꡃ	平	銅					duŋ	duŋ	定一東平
5	一東	ꡈꡟꡃ	平	桐					duŋ	duŋ	定一東平
5	一東	ꡈꡟꡃ	平	筒					duŋ	duŋ	定一東平
5	一東	ꡈꡟꡃ	平	瞳					duŋ	duŋ	定一東平
5	一東	ꡈꡟꡃ	平	曈					duŋ	duŋ	定一東平
5	一東	ꡈꡟꡃ	平	犝					duŋ	duŋ	定一東平
5	一東	ꡈꡟꡃ	平	潼					duŋ	duŋ	定一東平
5	一東	ꡈꡟꡃ	平	𦏆					duŋ	duŋ	定一東平
5	一東	ꡈꡟꡃ	平	罿					duŋ	duŋ	定一東平
5	一東	ꡈꡟꡃ	平	穜					duŋ	duŋ	定一東平
