小韻號	代表字	韻部	八思巴字聲母	八思巴字韻母	來自韻圖等	unt擬音	unt轉寫
1	公	一東	ꡂ	ꡟꡃ	一二	kuŋ	kuŋ
2	空	一東	ꡁ	ꡟꡃ	一二	kʰuŋ	kʰuŋ
3	東	一東	ꡊ	ꡟꡃ	一	tuŋ	tuŋ
4	通	一東	ꡉ	ꡟꡃ	一	tʰuŋ	tʰuŋ
5	同	一東	ꡈ	ꡟꡃ	一	duŋ	duŋ
6	農	一東	ꡋ	ꡟꡃ	一	nuŋ	nuŋ
7	中	一東	ꡆ	ꡟꡃ	三	tʂyŋ	tʂuŋ
8	忡	一東	ꡅ	ꡟꡃ	三	tʂʰyŋ	tʂʰuŋ
9	崇	一東	ꡄ	ꡟꡃ	二	dʐuŋ	dʐuŋ
10	醲	一東	ꡇ	ꡟꡃ	三	nyŋ	ɲuŋ
11	琫	一東	ꡎ	ꡟꡃ	一	puŋ	puŋ
12	蓬	一東	ꡌ	ꡟꡃ	一	buŋ	buŋ
13	蒙	一東	ꡏ	ꡟꡃ	一二	muŋ	muŋ
14	風	一東	ꡰ	ꡟꡃ	轻	fuŋ	vuŋ
15	馮	一東	ꡤ	ꡟꡃ	轻	vuŋ	fuŋ
16	瞢	一東	ꡓ	ꡟꡃ	轻	ʋuŋ	wuŋ
17	鬷	一東	ꡒ	ꡟꡃ	一	tsuŋ	tsuŋ
18	怱	一東	ꡑ	ꡟꡃ	一	tsʰuŋ	tsʰuŋ
19	叢	一東	ꡐ	ꡟꡃ	一	dzuŋ	dzuŋ
20	鬆	一東	ꡛ	ꡟꡃ	一	suŋ	suŋ
21	舂	一東	ꡮ	ꡟꡃ	三	ʂyŋ	ʂuŋ
22	慵	一東	ꡚ	ꡟꡃ	三	ʐyŋ	ʐuŋ
23	轟	一東	ꡜ	ꡟꡃ	一二	χuŋ	ħuŋ
24	洪	一東	ꡣ	ꡟꡃ	一二	ʁuŋ	ʁuŋ
25	翁	一東	ꡖ	ꡟꡃ	一	ʡuŋ	ʔuŋ
26	籠	一東	ꡙ	ꡟꡃ	一	luŋ	luŋ
27	弓	一東	ꡂ	ꡦꡟꡃ	三	kyŋ	kjuŋ
28	穹	一東	ꡁ	ꡦꡟꡃ	三	kʰyŋ	kʰjuŋ
29	窮	一東	ꡀ	ꡦꡟꡃ	三	ɡyŋ	ɡjuŋ
30	蟲	一東	ꡄ	ꡦꡟꡃ	三	dʐyŋ	dʐjuŋ
31	縱	一東	ꡒ	ꡦꡟꡃ	四	tsyŋ	tsjuŋ
32	樅	一東	ꡑ	ꡦꡟꡃ	四	tsʰyŋ	tsʰjuŋ
33	從	一東	ꡐ	ꡦꡟꡃ	四	dzyŋ	dzjuŋ
34	嵩	一東	ꡛ	ꡦꡟꡃ	四	syŋ	sjuŋ
35	松	一東	ꡕ	ꡦꡟꡃ	四	zyŋ	zjuŋ
36	胷	一東	ꡜ	ꡦꡟꡃ	三	xyŋ	ħjuŋ
